"id_respuesta";"puntuacion";"texto_respuesta";"id_pregunta"
1;0.0;"Archivos físicos";1
2;0.3;"En archivos planos (excel)";1
3;0.3;"Híbrido (físico  y digital)";1
4;0.6;"Plataforma digital propia";1
5;1.0;"Plataforma de software de tercero";1
6;0.3;"Externo o tercero";2
7;0.9;"Líder del proceso";2
8;0.9;"Operario asignado";2
9;0.9;"Personal del área de tecnología";2
10;0.25;"Menos del 25% de los procesos";3
11;0.5;"Menos del 50% de los procesos";3
12;0.75;"Menos del 75% de los procesos";3
13;1.0;"El 100% de los procesos";3
14;0.067;"Catálogo físico";4
15;0.067;"Publicidad en prensa escrita";4
16;0.067;"Vallas publicitarias";4
17;0.067;"Redes sociales";4
18;0.067;"Envío de correos electrónicos";4
19;0.067;"Mensaje de texto o whatsapp";4
20;0.067;"Llamada telefónica";4
21;0.067;"Voz a Voz";4
22;0.2;"Pagina Web";4
23;1.0;"Todas las anteriores";4
24;0.0;"Ninguna de las anteriores";4
25;0.0;"No tengo forma de conocer esa información";5
26;0.25;"Mediante monitoreo y registro en formatos o archivos internos";5
27;0.25;"Informes periódicos que presentan los agentes comerciales";5
28;0.25;"Mediante informes de redes sociales";5
29;0.25;"Lo identifico con el Google Analitics";5
30;0.5;"Oferta de productos y servicios predefinidos";6
31;0.0;"Oferta de productos y servicios personalizables que requieren acompañamiento de una persona.";6
32;0.5;"Oferta de productos y servicios personalizables que no requieren acompañamiento de una persona.";6
33;0.11;"Dirección general/administrativa";7
34;0.11;"Financiera";7
35;0.11;"Comecial";7
36;0.11;"Talento";7
37;0.11;"Operación";7
38;0.11;"Producción";7
39;0.11;"Mercadeo/Servicio al cliente";7
40;0.11;"Tecnología";7
41;0.11;"Otra, ¿Cuál?";7
42;0.0;"No tengo identificados los procesos en la empresa";8
43;0.2;"No tengo identificada la efectividad de los procesos en la empresa";8
44;0.5;"Tengo identificado que algunos procesos en la empresa generan sobrecostos.";8
45;0.7;"Se tiene identificado en por lo menos un proceso de la empresa excesiva cantidad de actividades asignadas";8
46;1.0;"Tengo métricas precisas con respecto a la efectividad de los procesos en la empresa identificando cuáles generan reprocesos y cuáles no.";8
47;0.0;"No se tiene identificado  ningún proceso cuyo desarrollo afecta de manera negativa  o retrasa directamente otro proceso.";9
48;0.5;"Se tiene identificado por lo menos un proceso cuyo desarrollo afecta de manera negativa o retrasa directamente a otro.";9
49;1.0;"Se tiene identificado dos o más procesos cuyo desarrollo afecta de manera negativa o retrasa directamente otros procesos.";9
